,precision,recall,f1-score,support
Applications Developer,0.06,0.05454545454545454,0.05714285714285714,110.0
CRM Technical Developer,0.07526881720430108,0.06140350877192982,0.06763285024154589,114.0
Database Developer,0.08333333333333333,0.08620689655172414,0.0847457627118644,116.0
Mobile Applications Developer,0.05263157894736842,0.037037037037037035,0.043478260869565216,108.0
Network Security Engineer,0.08411214953271028,0.14285714285714285,0.10588235294117647,126.0
Software Developer,0.08148148148148149,0.09322033898305085,0.08695652173913043,118.0
Software Engineer,0.0603448275862069,0.059322033898305086,0.05982905982905983,118.0
Software Quality Assurance (QA) / Testing,0.10434782608695652,0.10526315789473684,0.10480349344978165,114.0
Systems Security Administrator,0.11494252873563218,0.08928571428571429,0.10050251256281408,112.0
Technical Support,0.06306306306306306,0.061946902654867256,0.0625,113.0
UX Designer,0.102803738317757,0.09322033898305085,0.09777777777777778,118.0
Web Developer,0.12149532710280374,0.11403508771929824,0.11764705882352941,114.0
accuracy,0.08399710354815351,0.08399710354815351,0.08399710354815351,0.08399710354815351
macro avg,0.08365205594930115,0.08319530118185932,0.0824082090074252,1381.0
weighted avg,0.08381014308111978,0.08399710354815351,0.08283839037027149,1381.0
